o1: 0, in1: 1, score_stored:          2, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          1, clk_counter:           7
o1: 0, in1: 1, score_stored:          2, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           8
o1: 0, in1: 0, score_stored:          2, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           9
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          3, clk_counter:          10
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:          11
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:          12
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          13
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          14
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          15
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          16
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          17
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          18
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          19
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          20
o1: 1, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          21
o1: 0, in1: 0, score_stored:          3, score_to_add: 1, write_status: 1, reg30:          1, rData_actual:          1, clk_counter:           1
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           2
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           3
o1: 0, in1: 1, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          1, clk_counter:           4
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           5
o1: 0, in1: 0, score_stored:          3, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           6
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          4, clk_counter:           7
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           8
o1: 0, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          1, rData_actual:          0, clk_counter:           9
o1: 0, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          10
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          11
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          12
o1: 0, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          13
o1: 0, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          14
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          15
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          16
o1: 0, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          17
o1: 0, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          18
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          19
o1: 0, in1: 1, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          20
o1: 1, in1: 0, score_stored:          4, score_to_add: 0, write_status: 0, reg30:          0, rData_actual:          0, clk_counter:          21
o1: 0, in1: 0, score_stored:          4, score_to_add: 1, write_status: 1, reg30:          1, rData_actual:          1, clk_counter:           1
